"LBXGTC.Code.or.Value","LBXGTC.Value.Description","LBXGTC.Count","LBXGTC.Cumulative","LBXGTC.Skip.to.Item"
"14 to 1910","Range of Values",7217,7217,NA
".","Missing",869,8086,NA
