"DR1TCHL.Code.or.Value","DR1TCHL.Value.Description","DR1TCHL.Count","DR1TCHL.Cumulative","DR1TCHL.Skip.to.Item"
"0 to 1738.8","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
