"DRXIS060.Code.or.Value","DRXIS060.Value.Description","DRXIS060.Count","DRXIS060.Cumulative","DRXIS060.Skip.to.Item"
"0 to 3.184","Range of Values",141931,141931,NA
".","Missing",1073,143004,NA
