"RFXC130.Code.or.Value","RFXC130.Value.Description","RFXC130.Count","RFXC130.Cumulative","RFXC130.Skip.to.Item"
"-6.553 to 7.144","Range of Values",33681,33681,NA
".","Missing",40,33721,NA
