"DS1TLYCO.Code.or.Value","DS1TLYCO.Value.Description","DS1TLYCO.Count","DS1TLYCO.Cumulative","DS1TLYCO.Skip.to.Item"
"55 to 50000","Range of Values",625,625,NA
".","Missing",9628,10253,NA
