"WHD120.Code.or.Value","WHD120.Value.Description","WHD120.Count","WHD120.Cumulative","WHD120.Skip.to.Item"
"69 to 400","Range of Values",4440,4440,NA
"7777","Refused",13,4453,NA
"9999","Don't know",208,4661,NA
".","Missing",1973,6634,NA
