"AUXLOEXC.Code.or.Value","AUXLOEXC.Value.Description","AUXLOEXC.Count","AUXLOEXC.Cumulative","AUXLOEXC.Skip.to.Item"
"1","Yes (checkbox checked)",532,532,NA
"2","No (checkbox unchecked)",2418,2950,NA
".","Missing",181,3131,NA
