"VIQ130.Code.or.Value","VIQ130.Value.Description","VIQ130.Count","VIQ130.Cumulative","VIQ130.Skip.to.Item"
"1","Yes",1,1,""
"2","No",6557,6558,"VIQ150"
".","Missing",422,6980,""
