"DR2IKCAL.Code.or.Value","DR2IKCAL.Value.Description","DR2IKCAL.Count","DR2IKCAL.Cumulative","DR2IKCAL.Skip.to.Item"
"0 to 5081","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
