"URXDMA.Code.or.Value","URXDMA.Value.Description","URXDMA.Count","URXDMA.Cumulative","URXDMA.Skip.to.Item"
"0.1 to 15200","Range of Values",2528,2528,NA
".","Missing",110,2638,NA
