"DXXPT21Y.Code.or.Value","DXXPT21Y.Value.Description","DXXPT21Y.Count","DXXPT21Y.Cumulative","DXXPT21Y.Skip.to.Item"
"161.5 to 393.5","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
