"DXXBICRT.Code.or.Value","DXXBICRT.Value.Description","DXXBICRT.Count","DXXBICRT.Cumulative","DXXBICRT.Skip.to.Item"
"0.4 to 1","Range of Values",3294,3294,NA
".","Missing",414,3708,NA
