"URDP03LC.Code.or.Value","URDP03LC.Value.Description","URDP03LC.Count","URDP03LC.Cumulative","URDP03LC.Skip.to.Item"
"0","At or above the detection limit",3006,3006,NA
"1","Below lower detection limit",27,3033,NA
".","Missing",246,3279,NA
