"URD34MLC.Code.or.Value","URD34MLC.Value.Description","URD34MLC.Count","URD34MLC.Cumulative","URD34MLC.Skip.to.Item"
"0","At or above the detection limit",3001,3001,NA
"1","Below lower detection limit",13,3014,NA
".","Missing",265,3279,NA
