"DR2DAY.Code.or.Value","DR2DAY.Value.Description","DR2DAY.Count","DR2DAY.Cumulative","DR2DAY.Skip.to.Item"
"1","Sunday",18710,18710,NA
"2","Monday",25735,44445,NA
"3","Tuesday",24687,69132,NA
"4","Wednesday",20189,89321,NA
"5","Thursday",10502,99823,NA
"6","Friday",9509,109332,NA
"7","Saturday",3246,112578,NA
".","Missing",0,112578,NA
