"LBDBPBLC.Code.or.Value","LBDBPBLC.Value.Description","LBDBPBLC.Count","LBDBPBLC.Cumulative","LBDBPBLC.Skip.to.Item"
"0","At or above the detection limit",4983,4983,NA
"1","Below lower detection limit",5,4988,NA
".","Missing",827,5815,NA
