"URDUASLC.Code.or.Value","URDUASLC.Value.Description","URDUASLC.Count","URDUASLC.Cumulative","URDUASLC.Skip.to.Item"
"0","At or above the detection limit",2845,2845,NA
"1","Below lower detection limit",15,2860,NA
".","Missing",81,2941,NA
