"RHD143.Code.or.Value","RHD143.Value.Description","RHD143.Count","RHD143.Cumulative","RHD143.Skip.to.Item"
"1","Yes",236,236,""
"2","No",758,994,"RHQ160"
"7","Refused",0,994,"RHQ160"
"9","Don't know",2,996,"RHQ160"
".","Missing",2568,3564,""
