"OSD030ce.Code.or.Value","OSD030ce.Value.Description","OSD030ce.Count","OSD030ce.Cumulative","OSD030ce.Skip.to.Item"
"24 to 68","Range of Values",2,2,NA
"85","85 or older",0,2,NA
"77777","Refused",0,2,NA
"99999","Don't know",1,3,NA
".","Missing",5038,5041,NA
