"SXD031.Code.or.Value","SXD031.Value.Description","SXD031.Count","SXD031.Cumulative","SXD031.Skip.to.Item"
"10 to 55","Range of Values",4216,4216,NA
"9","9 years or younger",66,4282,NA
"77","Refused",6,4288,NA
"99","Don't know",10,4298,NA
".","Missing",1004,5302,NA
