"DSDCOUNT.Code.or.Value","DSDCOUNT.Value.Description","DSDCOUNT.Count","DSDCOUNT.Cumulative","DSDCOUNT.Skip.to.Item"
"0 to 20","Range of Values",9939,9939,NA
"77","Refused",14,9953,NA
"99","Don't know",10,9963,NA
".","Missing",2,9965,NA
