"DXXPT84X.Code.or.Value","DXXPT84X.Value.Description","DXXPT84X.Count","DXXPT84X.Cumulative","DXXPT84X.Skip.to.Item"
"0.1 to 555.4","Range of Values",3194,3194,NA
".","Missing",514,3708,NA
