"DR1IMAGN.Code.or.Value","DR1IMAGN.Value.Description","DR1IMAGN.Count","DR1IMAGN.Cumulative","DR1IMAGN.Skip.to.Item"
"0 to 895","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
