"CSXSLTSG.Code.or.Value","CSXSLTSG.Value.Description","CSXSLTSG.Count","CSXSLTSG.Cumulative","CSXSLTSG.Skip.to.Item"
"2 to 100","Range of Values",3217,3217,NA
".","Missing",491,3708,NA
