"LBXMCVSI.Code.or.Value","LBXMCVSI.Value.Description","LBXMCVSI.Count","LBXMCVSI.Cumulative","LBXMCVSI.Skip.to.Item"
"56.1 to 116.5","Range of Values",8799,8799,NA
".","Missing",1036,9835,NA
