"HOQ080.Code.or.Value","HOQ080.Value.Description","HOQ080.Count","HOQ080.Cumulative","HOQ080.Skip.to.Item"
"1","Yes",2501,2501,NA
"2","No",8315,10816,NA
"7","Refused",0,10816,NA
"9","Don't know",49,10865,NA
".","Missing",174,11039,NA
