"DR2TCALC.Code.or.Value","DR2TCALC.Value.Description","DR2TCALC.Count","DR2TCALC.Cumulative","DR2TCALC.Skip.to.Item"
"0 to 8624","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
