"SSLG1_N.Code.or.Value","SSLG1_N.Value.Description","SSLG1_N.Count","SSLG1_N.Cumulative","SSLG1_N.Skip.to.Item"
"19.2 to 132","Range of Values",1698,1698,NA
".","Missing",80,1778,NA
