"TYXP043.Code.or.Value","TYXP043.Value.Description","TYXP043.Count","TYXP043.Cumulative","TYXP043.Skip.to.Item"
"-39 to 193","Range of Values",5583,5583,NA
".","Missing",2,5585,NA
