"RIDEXAGM.Code.or.Value","RIDEXAGM.Value.Description","RIDEXAGM.Count","RIDEXAGM.Cumulative","RIDEXAGM.Skip.to.Item"
"0 to 239","Range of Values",4060,4060,NA
".","Missing",5911,9971,NA
