"DS1ICHL.Code.or.Value","DS1ICHL.Value.Description","DS1ICHL.Count","DS1ICHL.Cumulative","DS1ICHL.Skip.to.Item"
"0.005 to 335","Range of Values",485,485,NA
".","Missing",4885,5370,NA
