"SMQ857.Code.or.Value","SMQ857.Value.Description","SMQ857.Count","SMQ857.Cumulative","SMQ857.Skip.to.Item"
"2 to 4","Range of Values",3,3,NA
"7","Refused",0,3,NA
"9","Don't know",0,3,NA
".","Missing",6741,6744,NA
