"DSQISELE.Code.or.Value","DSQISELE.Value.Description","DSQISELE.Count","DSQISELE.Cumulative","DSQISELE.Skip.to.Item"
"1 to 4000","Range of Values",1697,1697,NA
".","Missing",6703,8400,NA
