"LBXSF1SI.Code.or.Value","LBXSF1SI.Value.Description","LBXSF1SI.Count","LBXSF1SI.Cumulative","LBXSF1SI.Skip.to.Item"
"2.28 to 331","Range of Values",4571,4571,NA
".","Missing",521,5092,NA
