"LBXSNASI.Code.or.Value","LBXSNASI.Value.Description","LBXSNASI.Count","LBXSNASI.Cumulative","LBXSNASI.Skip.to.Item"
"114 to 160","Range of Values",6375,6375,NA
".","Missing",542,6917,NA
