"LBX4CE.Code.or.Value","LBX4CE.Value.Description","LBX4CE.Count","LBX4CE.Cumulative","LBX4CE.Skip.to.Item"
"0.028","0.028",3009,3009,NA
".","Missing",257,3266,NA
