"VIXPLS.Code.or.Value","VIXPLS.Value.Description","VIXPLS.Count","VIXPLS.Cumulative","VIXPLS.Skip.to.Item"
"-14.25 to 9.25","Range of Values",2155,2155,NA
"88","Could not obtain",69,2224,NA
".","Missing",4693,6917,NA
