"DXXLSBMC.Code.or.Value","DXXLSBMC.Value.Description","DXXLSBMC.Count","DXXLSBMC.Cumulative","DXXLSBMC.Skip.to.Item"
"4.77 to 119.38","Range of Values",4946,4946,NA
".","Missing",834,5780,NA
