"RFXC129.Code.or.Value","RFXC129.Value.Description","RFXC129.Count","RFXC129.Cumulative","RFXC129.Skip.to.Item"
"-7.437 to 6.491","Range of Values",51056,51056,NA
".","Missing",20,51076,NA
