"WHQ090.Code.or.Value","WHQ090.Value.Description","WHQ090.Count","WHQ090.Cumulative","WHQ090.Skip.to.Item"
"1","Yes",2283,2283,""
"2","No",4339,6622,"WHD110"
"7","Refused",4,6626,"WHD110"
"9","Don't know",4,6630,"WHD110"
".","Missing",4,6634,""
