"OHD04LAM.Code.or.Value","OHD04LAM.Value.Description","OHD04LAM.Count","OHD04LAM.Cumulative","OHD04LAM.Skip.to.Item"
"0 to 8","Range of Values",1419,1419,NA
"99","Calculation cannot be determined",375,1794,NA
".","Missing",4964,6758,NA
