"LBDSSESI.Code.or.Value","LBDSSESI.Value.Description","LBDSSESI.Count","LBDSSESI.Cumulative","LBDSSESI.Skip.to.Item"
"0.9 to 3.8","Range of Values",2329,2329,NA
".","Missing",265,2594,NA
