"VTQ240B.Code.or.Value","VTQ240B.Value.Description","VTQ240B.Count","VTQ240B.Cumulative","VTQ240B.Skip.to.Item"
"1 to 72","Range of Values",1193,1193,NA
"777","Refused",0,1193,NA
"999","Don't know",0,1193,NA
".","Missing",2222,3415,NA
