"URDP19LC.Code.or.Value","URDP19LC.Value.Description","URDP19LC.Count","URDP19LC.Cumulative","URDP19LC.Skip.to.Item"
"0","At or above the detection limit",2230,2230,NA
"1","Below lower detection limit",213,2443,NA
".","Missing",254,2697,NA
