"DR1TP184.Code.or.Value","DR1TP184.Value.Description","DR1TP184.Count","DR1TP184.Cumulative","DR1TP184.Skip.to.Item"
"0 to 0.775","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
