"OHQ620.Code.or.Value","OHQ620.Value.Description","OHQ620.Count","OHQ620.Cumulative","OHQ620.Skip.to.Item"
"1","Very often",176,176,NA
"2","Fairly often",263,439,NA
"3","Occasionally",897,1336,NA
"4","Hardly ever",1290,2626,NA
"5","Never",2935,5561,NA
"7","Refused",0,5561,NA
"9","Don't know",2,5563,NA
".","Missing",0,5563,NA
