"ENQ100.Code.or.Value","ENQ100.Value.Description","ENQ100.Count","ENQ100.Cumulative","ENQ100.Skip.to.Item"
"1","Yes",1354,1354,NA
"2","No",5013,6367,NA
"7","Refused",0,6367,NA
"9","Don't know",3,6370,NA
".","Missing",1373,7743,NA
