"AUXRR107.Code.or.Value","AUXRR107.Value.Description","AUXRR107.Count","AUXRR107.Cumulative","AUXRR107.Skip.to.Item"
"-72 to 65","Range of Values",1878,1878,NA
".","Missing",168,2046,NA
