"OPDULARM.Code.or.Value","OPDULARM.Value.Description","OPDULARM.Count","OPDULARM.Cumulative","OPDULARM.Skip.to.Item"
"0","No",2397,2397,NA
"1","Yes",27,2424,NA
".","Missing",510,2934,NA
