"DXXIMX.Code.or.Value","DXXIMX.Value.Description","DXXIMX.Count","DXXIMX.Cumulative","DXXIMX.Skip.to.Item"
"108.2 to 758.5","Range of Values",3293,3293,NA
".","Missing",415,3708,NA
