"WTSC2YR.Code.or.Value","WTSC2YR.Value.Description","WTSC2YR.Count","WTSC2YR.Cumulative","WTSC2YR.Skip.to.Item"
"0 to 456851.11941","Range of Values",2612,2612,NA
".","Missing",0,2612,NA
