"SMD100NI.Code.or.Value","SMD100NI.Value.Description","SMD100NI.Count","SMD100NI.Cumulative","SMD100NI.Skip.to.Item"
"0.1 to 2","Range of Values",828,828,NA
".","Missing",6340,7168,NA
