"CIQG30.Code.or.Value","CIQG30.Value.Description","CIQG30.Count","CIQG30.Cumulative","CIQG30.Skip.to.Item"
"0 to 100","Range of Values",39,39,NA
"777","Refused",0,39,NA
"999","Don't know",0,39,NA
".","Missing",811,850,NA
