"AUQ171.Code.or.Value","AUQ171.Value.Description","AUQ171.Count","AUQ171.Cumulative","AUQ171.Skip.to.Item"
"1","Yes",122,122,NA
"2","No",68,190,NA
"7","Refused",0,190,NA
"9","Don't know",0,190,NA
".","Missing",9632,9822,NA
