"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"1774.8238555 to 285116.40105","Range of Values",5723,5723,NA
".","Missing",0,5723,NA
