"DS1INIAC.Code.or.Value","DS1INIAC.Value.Description","DS1INIAC.Count","DS1INIAC.Cumulative","DS1INIAC.Skip.to.Item"
"0.1419 to 2000","Range of Values",1790,1790,NA
".","Missing",3933,5723,NA
