"LBD138LC.Code.or.Value","LBD138LC.Value.Description","LBD138LC.Count","LBD138LC.Cumulative","LBD138LC.Skip.to.Item"
"0","At or above the detection limit",284,284,NA
"1","Below lower detection limit",0,284,NA
".","Missing",0,284,NA
