"URDUMMAL.Code.or.Value","URDUMMAL.Value.Description","URDUMMAL.Count","URDUMMAL.Cumulative","URDUMMAL.Skip.to.Item"
"0","At or above the detection limit",1724,1724,NA
"1","below lower detection limit",1370,3094,NA
".","Missing",185,3279,NA
