"URDMHPLC.Code.or.Value","URDMHPLC.Value.Description","URDMHPLC.Count","URDMHPLC.Cumulative","URDMHPLC.Skip.to.Item"
"0","At or above the detection limit",1853,1853,NA
"1","Below lower detection limit",1122,2975,NA
".","Missing",230,3205,NA
