"AUXLR121.Code.or.Value","AUXLR121.Value.Description","AUXLR121.Count","AUXLR121.Cumulative","AUXLR121.Skip.to.Item"
"-38 to 47","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
