"TYXP060.Code.or.Value","TYXP060.Value.Description","TYXP060.Count","TYXP060.Cumulative","TYXP060.Skip.to.Item"
"-139 to 180","Range of Values",5582,5582,NA
".","Missing",3,5585,NA
