"LBXSUA.Code.or.Value","LBXSUA.Value.Description","LBXSUA.Count","LBXSUA.Cumulative","LBXSUA.Skip.to.Item"
"1.4 to 14.9","Range of Values",6490,6490,NA
".","Missing",500,6990,NA
