"AUDTYR47.Code.or.Value","AUDTYR47.Value.Description","AUDTYR47.Count","AUDTYR47.Cumulative","AUDTYR47.Skip.to.Item"
"0 to 3.84","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
