"VIXKLCD.Code.or.Value","VIXKLCD.Value.Description","VIXKLCD.Count","VIXKLCD.Cumulative","VIXKLCD.Skip.to.Item"
"-4.75 to 23.5","Range of Values",6346,6346,NA
"88","Could not obtain",54,6400,NA
".","Missing",358,6758,NA
